,id,city,ctripName,stars,strategymedal,goldmedal,silvermedal,price
858,823764,上海,汉庭酒店(上海华泾店),0,0,1,0,225
859,823777,上海,汉庭酒店(上海浦东机场店),0,0,1,0,186
860,824578,成都,青城山忆楠客栈,0,1,0,0,157
861,825971,北京,北京商务会馆,4,0,1,0,468
862,828226,成都,熊猫驿站主题文化酒店(都江堰古城店),0,1,0,0,286
863,828353,成都,成都好客大酒店(武侯祠锦里店),0,1,0,0,282
864,832149,北京,7天连锁酒店(北京华贸中心店),0,0,1,0,272
865,832921,广州,广州美如酒店公寓柏林公寓店,0,0,1,0,216
866,833656,深圳,兴龙腾宾馆(深圳北站店)(原龙腾宾馆),0,0,1,0,157
867,835843,北京,锦江之星(北京南站店),0,0,1,0,170
868,835890,北京,北京冠京饭店,3,0,1,0,383
869,839165,厦门,厦门海角楼家庭旅馆,0,0,1,0,81
870,840634,杭州,西湖柒号酒店式公寓(杭州河坊街店),0,0,1,0,223
871,840802,成都,成都建材宾馆,0,0,1,0,137
872,842954,三亚,锦江之星(三亚湾吉祥街海景酒店),0,0,1,0,128
873,842998,三亚,君澜·三亚湾迎宾馆海景度假酒店,0,0,1,0,478
874,843599,三亚,三亚四季海庭酒店,0,0,1,0,294
875,845507,北京,北京福永御龙国际酒店,0,1,0,0,398
876,845656,成都,城市理想酒店(成都宽窄巷子店),0,1,0,0,308
877,845722,杭州,杭州金溪山庄,4,1,0,0,876
878,845754,杭州,浙江歌山品悦大酒店,4,0,1,0,473
879,845773,广州,广州罗曼的假日,0,0,1,0,87
880,846978,广州,广州水悦年华酒店,0,0,1,0,270
881,846998,北京,北京龙城华美达酒店,0,0,1,0,938
882,847232,成都,浪漫满屋度假公寓(成都宽窄巷子店),0,0,1,0,173
883,847320,杭州,杭州星都宾馆,4,1,0,0,518
884,847369,北京,北京和敬府宾馆,0,0,1,0,589
885,848739,广州,丽微舍酒店(广州上下九店)(原索特来文艺酒店),0,0,1,0,168
886,848787,北京,北京前门皇家驿栈,0,0,0,1,730
887,849853,广州,喆啡酒店(广州天河北天润路店),0,0,1,0,357
888,853213,北京,北京乐游饭店,2,1,0,0,228
889,853695,广州,7天连锁酒店(广州淘金地铁站店)(原淘金路店),0,0,1,0,198
890,854161,三亚,三亚湾新疆大厦度假酒店,0,0,1,0,276
891,855204,杭州,千岛湖星岛印象度假酒店(原钱塘星岛度假村),0,1,0,0,326
892,856498,广州,江月宾馆(广州长寿路地铁站店),0,0,1,0,90
893,859259,北京,山水时尚酒店(北京怀柔雁栖店),0,0,1,0,389
894,859308,南京,如家快捷酒店(南京新街口张府园地铁站店),0,0,1,0,279
895,878796,广州,广州珠江新岸酒店,0,0,1,0,278
896,879029,深圳,深圳新大洲酒店,0,0,1,0,318
897,879235,三亚,Q加·三亚多乐居家庭海景公寓,0,0,1,0,104
898,890052,北京,宜必思酒店(北京大成路店),0,0,1,0,323
899,890106,厦门,厦门丽斯海景酒店,0,1,0,0,298
900,894664,北京,汉庭酒店(北京花园桥店),0,0,1,0,341
901,894881,北京,汉庭酒店(北京燕莎霄云桥店),0,0,0,1,327
902,895414,青岛,中铁青岛中心酒店公寓,0,1,0,0,398
903,895549,北京,北京龙城温德姆酒店(原龙城丽宫国际酒店),5,0,1,0,1008
904,896114,三亚,三亚半岛海景度假公寓,0,0,1,0,204
905,898645,厦门,汉庭酒店(厦门禾祥西路店),0,0,0,1,187
906,900090,杭州,清蝉酒店(杭州西湖虎跑店),0,0,1,0,361
907,900103,杭州,杭州如野民宿,0,1,0,0,568
908,900142,杭州,杭州鸟山鸣主题民宿,0,0,1,0,333
909,901516,广州,广州逸海商务酒店,0,0,1,0,332
910,905714,上海,上海共康智选假日酒店,0,0,1,0,451
911,909587,广州,广州东城宾馆,0,0,1,0,199
912,909866,南京,南京状元驿站,0,0,0,1,388
913,913797,北京,7天连锁酒店(北京欢乐谷景区垡头地铁站店),0,0,1,0,99
914,914113,杭州,千岛湖啤酒假日酒店,0,0,1,0,186
915,914847,杭州,杭州威廉的太妃糖酒店,0,1,0,0,376
916,916338,广州,广州世丽酒店,0,0,1,0,207
917,916723,上海,途客中国酒店(上海虹桥枢纽国家会展中心店),0,0,1,0,146
918,916768,成都,初寓主题公寓(成都宽窄巷子店),0,0,1,0,193
919,916777,深圳,维也纳酒店(深圳华之沙店),0,0,1,0,460
920,916788,杭州,杭州添泉酒店式公寓,0,0,1,0,184
921,918261,北京,北京海淀花园饭店,4,1,0,0,580
922,919951,广州,7天连锁酒店(广州南方医院医科大学店),0,0,1,0,189
923,920572,广州,星和香江国际酒店(广州火车站店),0,0,1,0,253
924,921001,杭州,花筑·杭州木和堂客栈(原木和堂尚品客栈),0,0,1,0,345
925,923257,广州,7天连锁酒店(广州芳村地铁站店),0,0,1,0,167
926,924211,杭州,千岛湖鼎和度假公寓酒店,0,1,0,0,218
927,924770,深圳,喜玛拉雅酒店(深圳龙华店),0,0,1,0,207
928,924896,深圳,维也纳公寓(深圳中英街店),0,0,1,0,303
929,925657,深圳,深圳四川宾馆,3,1,0,0,443
930,926121,成都,好逸SMART酒店(成都春熙太古里店),0,1,0,0,248
931,926626,厦门,厦门梅园酒店,3,1,0,0,389
932,926806,厦门,厦门京华大酒店,3,0,1,0,390
933,926908,广州,广州国庭酒店,0,0,1,0,232
934,927697,广州,星驿国际公寓(广州昌岗地铁站店),0,0,1,0,319
935,929149,上海,弗思特连锁酒店(上海外滩四川北路店),0,0,1,0,352
936,929561,厦门,厦门友丰湖景酒店,0,1,0,0,298
937,932008,厦门,考拉青年旅舍(厦门中山路步行街店),0,0,1,0,49
938,932259,广州,维也纳酒店(广州机场店),0,0,1,0,311
939,939388,北京,北京国二招宾馆(东楼),0,1,0,0,968
940,953946,南京,南京雨花晶丽酒店,0,1,0,0,219
941,962272,南京,南京白鹭宾馆,3,1,0,0,300
942,962988,广州,迎商酒店(广州西门口地铁站店),0,0,1,0,190
943,963260,广州,爱东精品酒店(广州飞翔公园店),0,0,1,0,112
944,964628,成都,成都迎宾春天酒店,0,0,1,0,423
945,964876,深圳,维也纳酒店(深圳国王店),0,0,1,0,207
946,964938,广州,广州海棠公寓柏林店,0,0,1,0,279
947,965294,杭州,广景酒店(杭州萧山国际机场店),0,0,1,0,126
948,966955,上海,莫泰168(上海火车站北广场客运总站店),0,0,1,0,137
